simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 111; food_remaining: 4
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 112; food_remaining: 8
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 112; food_remaining: 4
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 113; food_remaining: 7
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 113; food_remaining: 4
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 114; food_remaining: 7
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 114; food_remaining: 4
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 115; food_remaining: 3
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 115; food_remaining: 7
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 116; food_remaining: 7
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 116; food_remaining: 2
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 117; food_remaining: 2
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 117; food_remaining: 7
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 118; food_remaining: 2
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 118; food_remaining: 7
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 119; food_remaining: 7
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 119; food_remaining: 2
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 120; food_remaining: 5
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 120; food_remaining: 2
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 121; food_remaining: 2
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 121; food_remaining: 5
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 122; food_remaining: 1
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 122; food_remaining: 4
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 123; food_remaining: 0
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 123; food_remaining: 3
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 124; food_remaining: 3
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 125; food_remaining: 3
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 126; food_remaining: 3
